created_at,full_text,username,label_UK
Fri Mar 07 16:22:37 +0000 2025,@meongpundung well i've been the novel reader since '22 bahkan karakternya om juji alias si sovi yg bajingan tolol itu gabisa benci gue nangis kejer pas arc yearning dia rashta juga aslinya korban patriarki dan kasta semua yg dia lakuin cuma biar dia gak mati. sayangnya dia bukan MC.,plaveshinki,"UK_victim, UK_patriarki, UK_misogyny"
Tue Feb 25 03:59:27 +0000 2025,Perempuan jongos patriarki itu level menjijikkannya amat sgt tidak tertolong. Saya pingin tau jika mereka diminta unt memilih; hendak diam sendirian dalam satu ruang penuh laki2 atau perempuan selama seharian penuh mana yg dipilih. Since women are the evil and sinister one.,aliciasoetopo,UK_patriarki
Mon Feb 24 12:21:01 +0000 2025,@omarabdr_ bener sih kak cuma ya kayaknya bakalan rada sulit since di indo budaya patriarki masih kental. jadinya lebih banyak peran pengasuhan di titik beratkan ke ibu ketimbang ayah,urmidnightsoul,UK_patriarki
Tue Feb 11 06:57:32 +0000 2025,jaman skrg? ayahku lahir 1965: 1. ga patriarki 2. mau masak dan kegiatan domestik lainnya 3. kebutuhan rumah diprovide 4. nguliahin 3 anak 5. nyuciin kendaraan di rumah 6. hal absurd lain bapakku suami ideal since 1992 bapakmu tdk ideal brrti?,olavtzu,UK_patriarki
Tue Feb 04 23:38:09 +0000 2025,@choosen21277994 @fbshomok @apphetite @noirfiore Ada yg namanya sistem patriarki since centuries ago ,nxtania,UK_patriarki
Tue Feb 04 13:39:34 +0000 2025,Since this is making numbers yuk kita temenan! Syarat: 1. Tidak patriarki misoginis homofobik dan rasis 2. Bukan 02 voters,hidupmatriarki,UK_patriarki
Tue Dec 17 15:45:38 +0000 2024,kesel bgt nonton film malaysia tp bapaknya patriarki mentok batu ,afantasi,UK_patriarki
Mon Dec 16 22:47:59 +0000 2024,Speaking of patriarki I'm quite privileged since dad is the only man at home and he cleans the house too bareng2 sama nyokap krn dua-duanya kerja. In fact w sampe sma beneran gabisa apa2 kecuali cuci piring (even that I hate sm ?) jadi rumah w sangat patriarki-free,skyandwaffles,UK_patriarki
Sun Nov 24 02:47:45 +0000 2024,@banan4y_ siapa? since abrahamic religions sudah ada patriarki/patriarch kalo kamu ingin menyalahkan laki2 jgn menggeneralisir ke semua laki2 aku bilang abrahamic religions then you should blame them blame The God too capek juga saya,ReaIPandaman,UK_patriarki
Sat Nov 23 07:56:05 +0000 2024,@mahendamar @baizhibaby smh lu pada denger kata generalisasi and wont shut up ever since. chant all men itu bukan brarti nunjuk ke setiap individu cowo tp highlight ke problem yang mana kaitannya ke sistem patriarki yang casenya msh sering pake BANGET terjadi. (cont),kucingmakansate,UK_patriarki
Wed Nov 06 11:07:57 +0000 2024,@baddassauvignon @yourhoneydew99 @aqvabotol @18fesss Ini juga salah arti sih. Patriarki n feminis itu sm2 pny arti yg positif setahuku. Patriarki itu yg L bgt feminis itu yg P bgt. contoh: Since slh satu sifat patriarki itu providing P sering kali diremehkan mkny tercipta feminis yg naikin derajat P walaupun 'hanya' IRT.,a_strangedino,UK_patriarki
Sat Nov 02 13:28:36 +0000 2024,patriarki ga akan bisa tereradikasi kalau cuman pola pikir dan aksi laki-laki yang dikoreksi. feminism has to start with ourselves because ancient patriarchal gender roles and values have taken root into society and forced upon us since the day we were born,iamchaotic,UK_patriarki
Thu Oct 31 08:40:33 +0000 2024,Since this post gaining numbers jangkauannya sudah sampai pada orang-orang patriarki juga ya? Kalau kamu menemukan opini jelek tolong diabaikan. Those ppl don't deserve your attention ? Bayangin abis yang ngetik sok keren taunya gak ada yang peduli ,bibabercerita,UK_patriarki
Sat Oct 26 00:18:11 +0000 2024,Bersyukur banget bias originalku (Tao) sekarang bener2 loyal dan bucin setengah mati ke Yiyang. Huang Zitao kalo lu nyakitin atau bener2 misoginis+patriarki parah ke Yiyang and hurt her aku gak bakal ragu buat drop all the support and best wishes I have toward you since 2012,Anggadextrous,UK_patriarki
Wed Oct 16 13:49:22 +0000 2024,gus miftah ini gue pikir beneran sekeren itu since di podcast om ded kek beneran bener. tapi setelah gasengaja dengerin ceramah beliau yang diplay emak gue DEYMMM patriarki! masih sering selipin becanda jorok di ceramah!!!! EWW?!!?!?!!?,kookissed,UK_patriarki
Sat Oct 12 13:57:08 +0000 2024,well .. since i over-analyze everything abis mikir2 mendalam kayaknya root causenya gini: 1. udah patriarki imbas keluarga dari kota **** anak laki selalu terdepan anak cewe belakangan 2. anak lakinya sadly nikah muda umur 24? 25? 26? segitulah langsung punya anak -,t0ughk1tten,UK_patriarki
Wed Aug 21 06:31:50 +0000 2024,Permasalahan selingkuh atau infidelity itu bukan soal feminisme atau patriarki. Ini lebih ke pelanggaran komitmen yang dibuat oleh 2(atau lebih) orang. Since komitmen dalam romansa kan ga semata2 soal pria dan wanita bisa aja pria - pria wanita - wanita dsb,stegodon_,UK_patriarki
Wed Aug 14 16:01:51 +0000 2024,pernah ga lu kepikiran mpreg yg awalnya limited to reader ao3 &amp; manhwa bl tiba2 jd bahasan warga WKWKWK i mean i alr become fujo since school ga pernah nyangka mpreg bisa dijadiin senjata ngelawan patriarki,cosmoxav,UK_patriarki
Sat Jul 20 09:54:29 +0000 2024,@hai_aldiy @Barrsbars @rasjawa Itupun klo misalnya ada penelitian subjeknya bakalan keluarga yg bapaknya literally kabur kyk di amerika gt bukan yg bapaknya patriarki dll bapak di sini tuh masih bertanggung jawab. Tpi since datanya ga ada jadi blm bisa ditarik kesimpulan macem2. https://t.co/7nd20nWXQz,KimJongUncchhhh,UK_patriarki
Wed Jul 10 10:27:53 +0000 2024,@haikalsafar Haah. Memang family drama cuma lagi complicated sebab libatkan dua budaya berbeza. Tambah pula dimensi patriarki/matriarki buat cerita lagi sedap ditonton. Cuma ada adult scenes yang merugikan since filem ni sesuai ganti K3G waktu Raya nanti. Lagu hampir semua sedap dan on point,IsyhraffMarwan5,UK_patriarki
Sun Jun 30 15:08:42 +0000 2024,@alternanth iyaa.. padahal mw bangett TP AGAK SULIT YA SINCE GMM ADALAH AGENSI PATRIARKI,MJO51022,UK_patriarki
Sun May 26 11:38:59 +0000 2024,Ayahku single parent sejak Mamaku berpulang karena covid 2021 kemarin. Alasan Ayah stay single karena mau jaga dua anak gadisnya. &amp;&amp; alhamdulillahnya Ayahku bukan pria patriarki dan very helpful. Since Ayah pensiun dan lebih banyak stay dirumah Ayah ga jarang bantu---,fntskinjournal_,UK_patriarki
Wed May 15 02:26:56 +0000 2024,since gue bener2 anti patriarki dan feminis garis keras (duhmaaf self claim gini berasa sjw gw) jd dpt cowo yg gt juga. apa itu feminim energy?? feeding ego laki2?? bener2 setara (which i actually love),kittenkitto,UK_patriarki
